Team,Runs,Wickets,Fours,Sixes,PowerPlay Runs,PowerPlay Wickets,Mid Over Runs,Last Four Over,Extra Receive,Extra Given,Wickets Taken,Overs,Run Rate,hundred,seventies,fifties,thirties,Caught,bowled,keeper catch,run out,lbw,hit wicket,Innings,Super Over,Against,Ground,Result,DOM
Chennai Super Kings,125,5,12,1,43,2,53,29,5,7,3,20,6.25,0,0,0,1,3,,1,1,,,1,False,Rajasthan Royals,Abu Dhabi,Lost,2020-10-19
Rajasthan Royals,126,3,12,2,31,3,61,34,7,5,5,17.3,7.28,0,0,1,0,,1,2,,,,2,False,Chennai Super Kings,Abu Dhabi,Won,2020-10-19
Kings XI Punjab,223,2,20,11,60,0,118,45,10,8,6,20,11.15,1,0,1,0,2,,,,,,1,False,Rajasthan Royals,Sharjah,Lost,2020-09-27
Rajasthan Royals,226,6,14,18,69,1,92,65,8,10,2,19.3,11.71,0,1,2,0,4,1,1,,,,2,False,Kings XI Punjab,Sharjah,Won,2020-09-27
Kolkata Knight Riders,194,6,24,6,36,2,115,43,7,6,9,20,9.7,0,1,1,0,4,1,1,,,,1,False,Delhi Capitals,Abu Dhabi,Won,2020-10-24
Delhi Capitals,135,9,11,3,36,2,76,23,6,7,6,20,6.75,0,0,0,1,6,2,,,1,,2,False,Kolkata Knight Riders,Abu Dhabi,Lost,2020-10-24
Royal Challengers Bangalore,201,3,17,10,59,0,77,65,10,5,5,20,10.05,0,0,3,0,3,,,,,,1,True,Mumbai Indians,Dubai,Lost,2020-09-28
Mumbai Indians,201,5,6,16,35,2,87,79,5,10,3,20,10.05,0,1,1,0,4,,1,,,,2,True,Royal Challengers Bangalore,Dubai,Won,2020-09-28
Mumbai Indians,191,4,17,10,41,2,83,67,6,7,8,20,9.55,0,0,1,2,2,1,,1,,,1,False,Kings XI Punjab,Abu Dhabi,Won,2020-10-01
Kings XI Punjab,143,8,10,3,41,2,71,31,7,6,4,20,7.15,0,0,0,1,3,3,1,,1,,2,False,Mumbai Indians,Abu Dhabi,Lost,2020-10-01
Kolkata Knight Riders,174,6,12,8,42,1,85,47,11,7,9,20,8.7,0,0,0,2,4,1,1,,,,1,False,Rajasthan Royals,Dubai,Won,2020-09-30
Rajasthan Royals,137,9,4,8,39,2,58,40,7,11,6,20,6.85,0,0,1,0,6,1,2,,,,2,False,Kolkata Knight Riders,Dubai,Lost,2020-09-30
Delhi Capitals,175,3,19,2,36,0,98,41,8,5,7,20,8.75,0,0,1,2,,,1,,1,,1,False,Chennai Super Kings,Dubai,Won,2020-09-25
Chennai Super Kings,131,7,12,1,34,2,67,30,5,8,3,20,6.55,0,0,0,1,3,,2,1,1,,2,False,Delhi Capitals,Dubai,Lost,2020-09-25
Rajasthan Royals,154,6,9,8,38,3,68,48,3,3,2,20,7.7,0,0,0,1,5,1,,,,,1,False,Royal Challengers Bangalore,Abu Dhabi,Lost,2020-10-03
Royal Challengers Bangalore,158,2,16,3,50,1,74,34,3,3,6,19.1,8.27,0,0,2,0,,1,,,1,,2,False,Rajasthan Royals,Abu Dhabi,Won,2020-10-03
Mumbai Indians,208,5,15,14,48,2,101,59,4,15,7,20,10.4,0,0,1,1,3,1,1,,,,1,False,Sunrisers Hyderabad,Sharjah,Won,2020-10-04
Sunrisers Hyderabad,174,7,12,7,56,1,88,30,15,4,5,20,8.7,0,0,1,1,5,1,1,,,,2,False,Mumbai Indians,Sharjah,Lost,2020-10-04
Delhi Capitals,196,4,18,7,63,0,80,53,10,11,9,20,9.8,0,0,1,3,2,1,1,,,,1,False,Royal Challengers Bangalore,Dubai,Won,2020-10-05
Royal Challengers Bangalore,137,9,11,2,43,3,72,22,11,10,4,20,6.85,0,0,0,1,5,2,2,,,,2,False,Delhi Capitals,Dubai,Lost,2020-10-05
Delhi Capitals,164,5,14,5,53,1,73,38,4,8,5,20,8.2,1,0,0,0,3,1,1,,,,1,False,Kings XI Punjab,Dubai,Lost,2020-10-20
Kings XI Punjab,167,5,14,7,57,3,84,26,8,4,5,19,8.79,0,0,1,1,1,1,2,1,,,2,False,Delhi Capitals,Dubai,Won,2020-10-20
Kings XI Punjab,178,4,14,6,46,0,95,37,4,11,0,20,8.9,0,0,1,1,3,,1,,,,1,False,Chennai Super Kings,Dubai,Lost,2020-10-04
Chennai Super Kings,181,0,22,4,60,0,75,46,11,4,4,17.4,10.4,0,2,0,0,,,,,,,2,False,Kings XI Punjab,Dubai,Won,2020-10-04
